"Año";"Periodo";"Parámetro";"Incidentes"
"2022";"Año";"Alabama";"60"
"2022";"Año";"Alaska";"6"
"2022";"Año";"Arizona";"19"
"2022";"Año";"Arkansas";"28"
"2022";"Año";"California";"214"
"2022";"Año";"Carolina del Norte";"69"
"2022";"Año";"Carolina del Sur";"44"
"2022";"Año";"Colorado";"28"
"2022";"Año";"Connecticut";"23"
"2022";"Año";"Dakota del Norte";"3"
"2022";"Año";"Dakota del Sur";"5"
"2022";"Año";"Delaware";"11"
"2022";"Año";"Distrito de Columbia";"33"
"2022";"Año";"Florida";"120"
"2022";"Año";"Georgia";"72"
"2022";"Año";"Hawai";"3"
"2022";"Año";"Idaho";"6"
"2022";"Año";"Illinois";"110"
"2022";"Año";"Indiana";"39"
"2022";"Año";"Iowa";"17"
"2022";"Año";"Islas Vírgenes";"1"
"2022";"Año";"Kansas";"18"
"2022";"Año";"Kentucky";"24"
"2022";"Año";"Luisiana";"56"
"2022";"Año";"Maine";"5"
"2022";"Año";"Maryland";"62"
"2022";"Año";"Massachusetts";"19"
"2022";"Año";"Michigan";"86"
"2022";"Año";"Minnesota";"20"
"2022";"Año";"Misisipi";"25"
"2022";"Año";"Misuri";"47"
"2022";"Año";"Montana";"9"
"2022";"Año";"Nebraska";"11"
"2022";"Año";"Nevada";"18"
"2022";"Año";"Nueva Jersey";"21"
"2022";"Año";"Nueva York";"76"
"2022";"Año";"Nuevo Hampsire";"8"
"2022";"Año";"Nuevo México";"21"
"2022";"Año";"Ohio";"86"
"2022";"Año";"Oklahoma";"19"
"2022";"Año";"Oregón";"24"
"2022";"Año";"Pensilvania";"88"
"2022";"Año";"Rhode Island";"7"
"2022";"Año";"Tennesse";"68"
"2022";"Año";"Texas";"175"
"2022";"Año";"Utah";"17"
"2022";"Año";"Vermont";"3"
"2022";"Año";"Virginia";"50"
"2022";"Año";"Virginia Occidental";"5"
"2022";"Año";"Washington";"46"
"2022";"Año";"Wisconsin";"25"
"2022";"Año";"Wyoming";"2"
;;
;;
"Métrica":"Incidentes"
"Fuente":"School shooting database"
"Clasificación":""
"Unidad":"Incidentes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/incidentes-relacionados-tiroteos-colegios-estados-unidos-1970-estado/edc7124b-e2b8-49ad-9860-e8df8b3988a0"
"Titulo":"Incidentes relacionados con tiroteos en colegios en Estados Unidos desde 1970 por estados"
"Subtitulo":""
