"Año";"Periodo";"Primaria";"Medio (Secundaria)";"Alto (cuatro últimos cursos antes de la educación superior)"
"1970";"Año";"1";"0";"17"
"1971";"Año";"1";"2";"13"
"1972";"Año";"2";"0";"8"
"1973";"Año";"0";"0";"18"
"1974";"Año";"2";"0";"11"
"1975";"Año";"4";"0";"7"
"1976";"Año";"3";"0";"7"
"1977";"Año";"1";"1";"10"
"1978";"Año";"2";"1";"8"
"1979";"Año";"2";"2";"9"
"1980";"Año";"3";"0";"15"
"1981";"Año";"1";"1";"12"
"1982";"Año";"0";"1";"15"
"1983";"Año";"1";"2";"20"
"1984";"Año";"4";"0";"20"
"1985";"Año";"0";"1";"15"
"1986";"Año";"1";"1";"12"
"1987";"Año";"3";"0";"19"
"1988";"Año";"10";"3";"22"
"1989";"Año";"1";"2";"13"
"1990";"Año";"1";"0";"16"
"1991";"Año";"1";"5";"24"
"1992";"Año";"2";"1";"25"
"1993";"Año";"1";"3";"40"
"1994";"Año";"5";"4";"28"
"1995";"Año";"1";"4";"16"
"1996";"Año";"1";"2";"16"
"1997";"Año";"1";"2";"22"
"1998";"Año";"4";"7";"16"
"1999";"Año";"1";"4";"15"
"2000";"Año";"9";"4";"14"
"2001";"Año";"1";"0";"24"
"2002";"Año";"2";"3";"13"
"2003";"Año";"2";"5";"23"
"2004";"Año";"7";"1";"23"
"2005";"Año";"7";"2";"37"
"2006";"Año";"4";"11";"42"
"2007";"Año";"8";"6";"26"
"2008";"Año";"8";"4";"20"
"2009";"Año";"3";"2";"23"
"2010";"Año";"2";"2";"11"
"2011";"Año";"3";"3";"9"
"2012";"Año";"5";"2";"10"
"2013";"Año";"7";"6";"18"
"2014";"Año";"8";"3";"32"
"2015";"Año";"13";"3";"18"
"2016";"Año";"5";"5";"38"
"2017";"Año";"14";"7";"34"
"2018";"Año";"24";"13";"73"
"2019";"Año";"29";"12";"70"
"2020";"Año";"43";"14";"43"
"2021";"Año";"65";"25";"130"
"2022";"Año";"23";"23";"74"
;;;;
;;;;
"Métrica":"Primaria"
"Fuente":"School shooting database"
"Clasificación":""
"Unidad":"Incidentes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Medio (Secundaria)"
"Fuente":"School shooting database"
"Clasificación":""
"Unidad":"Incidentes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Alto (cuatro últimos cursos antes de la educación superior)"
"Fuente":"School shooting database"
"Clasificación":""
"Unidad":"Incidentes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://www.epdata.es/incidentes-relacionados-tiroteos-colegios-estados-unidos-1970-nivel-educativo/51ade95d-bd96-4711-ae34-1b2aa2819f5d"
"Titulo":"Incidentes relacionados con tiroteos en colegios en Estados Unidos desde 1970 por nivel educativo del centro"
"Subtitulo":""
